PARKID,NAME,CITY,STATE,START,END,LEAGUE,AKA
ALB01,Riverside Park,Albany,NY,18800911,18820530,NL,Greenbush Grounds
ALT01,Columbia Park,Altoona,PA,18840430,18840531,UA,4th Ave Grounds; Waverly Field
ANA01,Angel Stadium of Anaheim,Anaheim,CA,19660419,,AL,Anaheim Stadium; Edison Field
ARL01,Arlington Stadium,Arlington,TX,19720421,19931003,AL,
ARL02,Globe Life Park,Arlington,TX,19940411,,AL,Rangers Ballpark in Arlington; The Ballpark in Arlington; Ameriquest Field
ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,19660412,19960923,NL,Atlanta Stadium
ATL02,Turner Field,Atlanta,GA,19970404,,NL,
BAL01,Madison Avenue Grounds,Baltimore,MD,18710708,18710708,NA,Pastime Base Ball Grounds
BAL02,Newington Park,Baltimore,MD,18720422,18820930,,
BAL03,Oriole Park I,Baltimore,MD,18830501,18881013,AA,Union Park; Huntingdon Avenue Grounds ; American Association Park
BAL04,Belair Lot,Baltimore,MD,18840417,18840924,UA,Union Park
BAL05,Monumental Park,Baltimore,MD,18840825,18840825,UA,
BAL06,Oriole Park II,Baltimore,MD,18890418,18910509,AA,
BAL07,Oriole Park III,Baltimore,MD,18910511,18991010,,Union Park; Baltimore Baseball and Exhibition Grounds
BAL09,Oriole Park IV,Baltimore,MD,19010426,19020929,AL,American League Park
BAL10,Terrapin Park,Baltimore,MD,19140413,19151002,FL,Federal League Park; Oriole Park
BAL11,Memorial Stadium,Baltimore,MD,19540415,19911006,AL,
BAL12,Oriole Park at Camden Yards,Baltimore,MD,19920406,,AL,Camden Yards
BOS01,South End Grounds I,Boston,MA,18710516,18870910,,Walpole Street Grounds
BOS02,Dartmouth Grounds,Boston,MA,18840430,18840924,UA,Union Park
BOS03,South End Grounds II,Boston,MA,18880525,18940514,NL,Grand Pavilion; Walpole Street Grounds; Union Baseball Grounds; Boston Baseball Grounds
BOS04,Congress Street Grounds,Boston,MA,18900419,18940620,,Brotherhood Grounds
BOS05,South End Grounds III,Boston,MA,18940720,19140811,NL,South Side Grounds
BOS06,Huntington Avenue Baseball Grounds,Boston,MA,19010508,19111007,AL,
BOS07,Fenway Park,Boston,MA,19120420,,AL,
BOS08,Braves Field,Boston,MA,19150818,19520921,,Bee Hive; National League Field
BUF01,Riverside Grounds,Buffalo,NY,18790501,18830908,NL,Riverside Park
BUF02,Olympic Park I,Buffalo,NY,18840521,18851007,NL,Richmond Ave Grounds
BUF03,Olympic Park II,Buffalo,NY,18900419,18901004,PL,Buffalo Baseball Park
BUF04,International Fair Association Grounds,Buffalo,NY,19140511,19150908,FL,Federal League Park
CAN01,Mahaffey Park,Canton,OH,19020615,19030621,,League Park
CAN02,Pastime Park,Canton,OH,18900918,18900918,NL,
CHI01,White Stocking Grounds,Chicago,IL,18710508,18710929,NA,Lake Front Park; Union Base-Ball Grounds; Chicago Base-Ball Grounds; Lake Shore Park; Lake Street Dumping Ground; The Dump
CHI02,23rd Street Park,Chicago,IL,18720529,18771006,,State Street Grounds; 23rd Street Park; Base Ball Park
CHI03,White Stocking Park,Chicago,IL,18780514,18820930,NL,Lake Front Park; Lake Park; Chicago Base-Ball Grounds
CHI04,Lake Front Park III,Chicago,IL,18830505,18841011,NL,
CHI05,South Side Park I,Chicago,IL,18840502,18840801,UA,Cricket Club Grounds; Union Grounds; 39th Street Grounds
CHI06,West Side Park,Chicago,IL,18850606,18911002,NL,Congress Street Grounds; Loomis Race Track; Loomis Street Park
CHI07,South Side Park II,Chicago,IL,18900505,18930524,,Brotherhood Park; 35th Street Grounds
CHI08,West Side Grounds,Chicago,IL,18930514,19151003,NL,West Side Park
CHI09,South Side Park III,Chicago,IL,19010424,19100627,AL,White Sox Park; White Stocking Park; Cricket Club Grounds; 39th Street Grounds; Schorling's Park; American Giants Park
CHI10,Comiskey Park I,Chicago,IL,19100701,19900930,AL,White Sox Park
CHI11,Wrigley Field,Chicago,IL,19140423,,NL,Weeghman Park; Cubs Park; Whales Park; North Side Ball Park
CHI12,U.S. Cellular Field,Chicago,IL,19910418,,AL,Comiskey Park
CIN01,Lincoln Park Grounds,Cincinnati,OH,18710513,18710722,NA,Union Cricket Club Grounds; Union Grounds
CIN02,Avenue Grounds,Cincinnati,OH,18760425,18790827,NL,
CIN03,Bank Street Grounds,Cincinnati,OH,18800501,18841015,,Union Athletic Park
CIN04,League Park I,Cincinnati,OH,18840501,18930929,,Cincinnati Base Ball Grounds ; Western Avenue Grounds
CIN05,League Park II,Cincinnati,OH,18940420,19011006,NL,
CIN06,Palace of the Fans,Cincinnati,OH,19020417,19111012,NL,League Park
CIN07,Crosley Field,Cincinnati,OH,19120411,19700624,NL,Redland Field
CIN08,Riverfront Stadium,Cincinnati,OH,19700630,20020922,NL,Cinergy Field
CIN09,Great American Ballpark,Cincinnati,OH,20030331,,NL,
CLE01,National Association Grounds,Cleveland,OH,18710511,18720819,NA,
CLE02,National League Park I,Cleveland,OH,18790501,18841011,NL,Kennard Street Park; League Park
CLE03,National League Park II,Cleveland,OH,18870504,18901004,,American Association Park; Brookside Park; League Park
CLE04,Brotherhood Park,Cleveland,OH,18900430,18901004,PL,Players League Park
CLE05,League Park III,Cleveland,OH,18910501,19090906,,National League Park
